Id;CreationDate;PostId;Score;Text;UserId
1904477;2010-01-01 00:25:37.253;1978289;0;I specifically pointed out that I wasn't commenting on the current Jet version.  That the engine had well known problems with data integrity that I experienced first hand in a mature release (3.5 with all the SPs/patches) that is not that long ago is very relevant to the original post.  One data corruption problem is enough to sour you on an engine for life.  I've never seen a data corruption problem in Sql Server (caused by the engine).  While current Jet/ACE might be as solid as Sql Server, I wouldn't bet on it when you have Sql Server Express/Adp projects as a costless alternative.;240618
1904480;2010-01-01 00:28:01.267;1987573;0;He already explained that it's not normalised.;228936
1904481;2010-01-01 00:29:03.357;1987573;0;So I see, but that doesn't excuse it.;37213
1904482;2010-01-01 00:29:06.583;1987226;0;-removeAllObjects does work without calling -release.  Are you saying that is still a memory leak?;40106
1904483;2010-01-01 00:29:24.893;1967740;0;"public void onCreate(Bundle savedInstanceState) 
{
        super.onCreate(savedInstanceState);
        setContentView(R.layout.login_screen);
        emailTxt = (EditText) findViewById(R.id.email);
        emailTxt.setOnKeyListener(new OnKeyListener() 
 {

  public boolean onKey(View v, int keyCode, KeyEvent event) 

  {

   Log.i(""Key Value"", String.valueOf(keyCode));

  });
}";NULL
1904487;2010-01-01 00:32:02.953;1984733;0;Reading between the lines, we can conclude that the DBGrid is the source of this effect, interacting in some way with the TFields of the DataSet. I'm going to accept your answer on the basis of this conclusion. But I think we can still dig deeper. I want to know more about the precise mechanism that is responsible, as it may be the source of other little known side effects. Thanks, Dimitrij;84904
1904488;2010-01-01 00:32:15.043;1967740;0;I am just reading the keys for now.;NULL
1904489;2010-01-01 00:32:55.173;1987541;1;How is the marshalling code supposed to know when to marshal the union as `int[]` or `float[]` ? Is it supposed to choose for each array element, or is it always one or the other?;234815
1904490;2010-01-01 00:34:15.670;1987183;0;One last thing to point out: If you only let one end of the path wander, then a bad initial choice can condemn you never to find a solution. (Or at least to wander for a really long time. Learned that one the hard way!) So at some point you must switch to the other end of the path and let that end wander for a while. Or make sure you pick a good starting node.;94977
1904491;2010-01-01 00:34:38.067;1987495;0;@nobugz: Please see my edit.;226621
1904492;2010-01-01 00:34:45.840;1947611;0;O.k, I'm sort of an idiot...I decided to use Constants, and as I found out, they don't work like $_session...there in lies my idiocracy....constants are working like I wanted them to.  thanks for your help;249034
1904493;2010-01-01 00:34:55.740;1982071;0;I tried using TextWatcher but I need the KeyUp and KeyDown events for each key pressed. Textwatcher just gives me the keydown event.;NULL
1904494;2010-01-01 00:35:09.897;1987431;0;Thanks! I don't know why, but the download did not include any of the download sources.;572
1904495;2010-01-01 00:35:43.093;1987401;8;While `goto` may be dreaded, there are a small number of cases where it is actually useful and I believe this is one of them.;131407
1904496;2010-01-01 00:37:35.097;1986033;0;Perhaps use an additional variable, and then set it to 1 if you find a solution, 0 otherwise. Once you get out of the loop, you can check it, and do your stuff from there. I don't have my calculator on me, but I'm sure theres a `Break` command in list somewhere. Just stick that after the `Disp X` in the `If` statement.;NULL
1904497;2010-01-01 00:37:56.033;1987585;2;I'm fairly sure that doesn't work. Have you tested that?;143327
1904501;2010-01-01 00:40:04.020;1987585;4;"Definitely works. The ""right hand side"" of a lambda does not have to reference the ""left hand side"".";31668
1904502;2010-01-01 00:42:02.987;1987443;3;"While this is fine for most applications, there is an important difference between `switch` and `if/else` being that the compiler can usually optimize the ""branching"" operations by using a jump table, resulting in faster code.";131407
1904503;2010-01-01 00:43:48.240;1987397;0;Why? is the average level too slow or too high?;224363
1904504;2010-01-01 00:44:29.203;1987583;1;"solved no need of script 
i used error_reporting(0);";238952
1904505;2010-01-01 00:45:08.033;1987406;0;Than you, I was already thinking in using jQuery, but I wanted to start from the ground before getting into frameworks. :-);224363
1904506;2010-01-01 00:45:13.510;1987583;7;Safaali, you ought to fix the problems, not ignore then.;54680
1904507;2010-01-01 00:45:22.463;1987512;0;@bobince Excellent comment.;54420
1904508;2010-01-01 00:47:35.207;1987512;0;Although, this does *not* work in IE.;54420
1904510;2010-01-01 00:48:04.237;1987589;3;If i may, i think you are asking such simple questions, that maybe you should do some research before asking them on SO.;220819
1904511;2010-01-01 00:48:41.927;1986726;0;Here is the list of supported tags for Google docs. Note that not all of the unsupported tags cause XSS problems (some are just poorly supported by contenteditable): http://docs.google.com/support/bin/answer.py?hl=en&answer=146021;231675
1904512;2010-01-01 00:49:21.210;1987600;0;"In UIKit/Mobile Darwin, you can use properties as well: tf_text = yourTextField.text;";23498
1904513;2010-01-01 00:49:24.297;1865434;0;@David W. Fenton -- the issue was in the data type. I ended up rolling my own command builder to make this work.;50018
1904514;2010-01-01 00:49:30.913;1987602;2;You should make `ActionBase`'s destructor `virtual`. See http://www.parashift.com/c++-faq-lite/virtual-functions.html#faq-20.7;226621
1904515;2010-01-01 00:49:44.233;1986657;0;"Each class could derive from the same abstract base class that records the connections in one instance of a ""master"" class. It sounds like you need a ""Building"" class that has the canonical view of what's going on.";12960
1904516;2010-01-01 00:49:50.787;1987585;0;Well gee, would you look at that! That will clean up some of the Html.RenderPartial()s I've been using unnecessarily.;143327
1904517;2010-01-01 00:52:35.010;1987585;0;You're right, it does work.  I didn't think it would either.  Thanks.;9266
1904518;2010-01-01 00:53:23.213;1987585;6;"Keep in mind that lambdas are just method definition. A method can take a parameter ""x"" and not actually use it in the method body. A neat trick, for sure! I highly recommend reading Brad Wilson's 5-part series on templated helpers: http://bradwilson.typepad.com/blog/2009/10/aspnet-mvc-2-templates-part-1-introduction.html";31668
1904519;2010-01-01 00:54:28.017;1987609;0;Was just going to answer the same thing. great answer!;220819
1904520;2010-01-01 00:54:30.450;1987585;1;"I never realized that about lambdas; where have I been all this time?!";143327
1904521;2010-01-01 00:54:50.140;1987601;0;You will have to debug the PHP script or post it here. It's impossible to tell without.;187606
1904522;2010-01-01 00:55:06.953;1987612;0;It does look weird. Apparently, some code generators also use it. But I'm wondering if it's some convention for RMI, perhaps brought in from another language.;572
1904523;2010-01-01 00:55:22.507;1981765;0;This worked great thanks so much!;240487
1904524;2010-01-01 00:58:15.077;1987614;0;I'd have to check which classes it was in. This is in a school assignment, and the use of $ in variable names caught me off guard - I had forgotten it was even valid. If it was proxy classes, I could assume that they were probably generated.;572
1904525;2010-01-01 00:59:28.243;1987619;0;Does that still apply if developer is full-time paid to work with open-source technologies?  Such guy surely uses a lot of them in his projects, but isn't there anything differrent?;158676
1904526;2010-01-01 00:59:34.250;1987603;0;If you'd asked me, I'd have guessed that `$` was valid in class files, but not java source.;21234
1904528;2010-01-01 01:01:49.877;1987621;1;+1: Leave the presentation formatting to PHP;135152
1904529;2010-01-01 01:02:22.930;1987601;0;there are three PHP files, contact.php functions.php and config.php. They are all located in the root folder. They are too long to post here. Any other way?;121630
1904531;2010-01-01 01:03:55.297;1987629;0;Note that this is Python 2.x syntax.  Python 3.0 has print as a function, and redirection is done completely differently.;238406
1904532;2010-01-01 01:05:14.537;1987452;0;In this case I'm using them for hours.  They don't really need to be exact I just wondered why those seemingly simple numbers would result in a SUM so seemingly wrong.  Now I know :);32892
1904533;2010-01-01 01:05:38.023;1987397;0;For some people, far too low.;34397
1904534;2010-01-01 01:06:04.717;1987621;0;That's exactly how I do it in our Java/MySQL system. It works great.;18189
1904535;2010-01-01 01:06:19.747;1987480;0;Good explanation in simple terms.  Thanks!;32892
1904536;2010-01-01 01:06:44.310;1987300;0;"I would only want to use Part or HardDrive for finders, so I could do Part.all and then render views based on that, but that's not such a big loss.

I've tried using inheritance but as far as I can tell, I can't use ruby inheritance and have it use different tables for the subclasses. I initially designed this with STI as I said but there's a known bug in DM on their lighthouse page that prevents that.

What strategy would you use?";241445
1904537;2010-01-01 01:06:50.307;1986204;0;Is it churning out lots of debug SQL statements to the debug window? Try setting showSql to false when you configure the session factory.;83109
1904538;2010-01-01 01:07:46.087;1987625;0;ok, you might be on to something. THe working version has a PHP version of 5.2.11 and the non working version is 4.3.11. So Im guessing I have to call them to update it?;121630
1904539;2010-01-01 01:08:09.487;1987601;0;You can use a site like http://pastebin.ca to post the files and then link.;148870
1904540;2010-01-01 01:08:25.000;1987613;2;While you're very right in your advice, that doesn't have anything to do with the problem in subject.;158676
1904542;2010-01-01 01:08:57.527;1987532;0;global is notoriously evil. I'd redesign/refactor my system before I used global.;16668
1904543;2010-01-01 01:09:13.837;1930851;0;Is using QPersistantModelIndex the only sane way? The Qt MVC classes feel really outdated to me…;24587
1904544;2010-01-01 01:09:28.633;1987640;0;How can I make the switch in Coldfusion elegantly?;149080
1904546;2010-01-01 01:09:33.063;1987528;0;Folks are suggesting ways to do this, but why would you want to? This kind of pattern causes unmaintainable code. Consider refactoring.;16668
1904547;2010-01-01 01:10:16.550;1984901;3;"on many platforms, older perl's would have done better; starting in 5.10, usefaststdio (formerly the default on many platforms - which causes perl to try to interact in encapsulation-breaking ways with libc's FILE structs in the interest of blinding speed) defaults to off and the slower perlio abstraction layer replaces use of stdio.";17389
1904548;2010-01-01 01:11:38.693;1878803;0;@steveha: +1 - Named constants for function call: excellent use for function attributes.;140894
1904549;2010-01-01 01:11:49.697;1984901;2;"@steveha: I'm not seeing any comments that I'd label as sniping, except at oversimplified ""benchmarks"", regardless of language.";17389
1904550;2010-01-01 01:13:13.190;1983334;0;ok then i know. it is just to use common sense then. im using php:) a very easy to learn language..but the hardest part is to learn how to code the right structure:);206446
1904551;2010-01-01 01:13:32.713;1987640;0;"You could make the ""switch"" by keeping a variable that keeps track of the section you are on.  When that section no longer matches the ""LastSection"", create the next header.";55164
1904553;2010-01-01 01:14:37.423;1982562;0;Opening them to `/dev/null` is typical.;20713
1904554;2010-01-01 01:15:14.137;1987226;0;Yes.  The dictionary is being leaked.;25646
1904555;2010-01-01 01:15:58.293;1987640;0;Neil can you provide an example in CF that shows how that looping would work?;149080
1904557;2010-01-01 01:16:49.713;1984946;0;Will this be unique for a computer across the world?;238030
1904558;2010-01-01 01:17:33.627;1984946;0;And is it Mac-specific, or will the Windows version (`UuidCreateSequential()`) give the same result?;238030
1904559;2010-01-01 01:17:51.527;1987645;0;Can you show a code sample of what it is that you're doing and when the value switches between the two formats?;31668
1904560;2010-01-01 01:18:11.473;1986986;0;@Pavel - thanks for the explanation of the subtle mistake.  I've updated my example.;29809
1904561;2010-01-01 01:19:16.467;1987555;0;"This totally worked! The trick was the <textContent> property. It was the reason I had been getting blank outputs.

Thanks Josh. You rock";445584
1904562;2010-01-01 01:19:27.400;1987583;2;Safaali, seeing as you have a certain interest in PHP, do yourself a favour and look into fixing that script.;187606
1904563;2010-01-01 01:19:50.727;1987529;0;You should probably declare min_so_far as an int* or else pass the address of min_so_far when you make the function call. As it is, it'll probably compile but have major logic errors (and/or a segmentation fault).;129655
1904564;2010-01-01 01:19:59.863;1987613;0;"Thanks for the quick answer guys.  With a virtual destructor, this still compiles and executes with a ""pure virtual method called"" error with gcc-ubuntu-64 4.3.3.

The first produces the error, the next does not.  What is inherently different between the two?  The second takes the address of a temporary, which of course is not good.  Does the first also?

Button button = Button( Action<View>( view, &View::foo ) );

Action<View> action( view, &View::foo );
Button button2 = Button( action );";NULL
1904565;2010-01-01 01:20:19.427;1987485;0;"I agree that in principle this could be done, but it is rather more complicated in practice than your quick sketch would indicate. var not only requires that there be an initializer, it also requires that the initializer not refer to the variable. If you have int M(out int) then you can say ""int x = M(out x);"" but you cannot say ""var x = M(out x);"" because to do overload resolution on M, we need to know the type of x, which is what we're attempting to figure out. Would it be legal to say ""var s; if (b) M(out s); else s = 0;"" ?";88656
1904566;2010-01-01 01:20:24.157;1987532;0;Sure, but that wasn't the question.;228936
1904568;2010-01-01 01:21:43.090;1987589;0;Also, you should accept the answers that are correct.;220819
1904569;2010-01-01 01:22:23.420;1968581;0;Proxy class, or proxy server? It sounds like it might not be so easy in a shared hosting environment, right?;384670
1904571;2010-01-01 01:23:14.883;1984946;0;According to this: http://developer.apple.com/mac/library/documentation/CoreFoundation/Reference/CFUUIDRef/Reference/reference.html, the UUID is unique across time and space. I need it to be the same across time because I want to be able to use it at any time to uniquely identify a computer. How do I do this?;238030
1904572;2010-01-01 01:23:21.933;1987625;0;No, mail() should work on both of them.;187606
1904573;2010-01-01 01:23:22.777;1987460;0;"@Roger Pate: `a` is not a pointer to a static memory block, it is an array on the stack and it is initialized; therefore, yes this answer does apply.";3153
1904574;2010-01-01 01:23:29.530;1987641;0;Why was this downvoted?;55164
1904575;2010-01-01 01:23:30.093;1987238;0;This just gives (0,0) as before, unfortunately.;58635
1904577;2010-01-01 01:24:18.390;1982071;0;I don't think it's possible to listen to KeyUp and KeyDown from the software keyboard.;13070
1904578;2010-01-01 01:25:16.173;1987058;0;@BalusC - wow. Awesome answer. I can put that to good use myself.;181144
1904580;2010-01-01 01:26:07.703;1987613;0;Mike: The issue isn't taking the taking the address of a temporary, but using a reference after the lifetime has ended for the object to which it refers (see my answer).;NULL
1904581;2010-01-01 01:26:40.117;1987079;0;What I do (if I don't care about the jit time -- sometimes that is the thing that I am profiling since I often want to measure startup time), I simply run all my tests ten, a hundred, or whatever times and discard the first result.;88656
1904582;2010-01-01 01:26:47.387;1987647;0;"About undefined-ness... I checked the assembly, it seems that gcc didn't destroy `Action` hierarchy *at all*, if destructor was ""trivial""--i.e. compiler-generated.  So the code correctly caught vtable pointer without destructor since it remained in memory unoverwritten.";158676
1904584;2010-01-01 01:27:14.860;1985149;0;Thank you for the words!;137954
1904585;2010-01-01 01:27:29.930;1987573;0;"I'm still in the process of learning so maybe the next go around I'll learn the ""right way"" to do some of this stuff. ;)";172964
1904586;2010-01-01 01:30:09.083;1976193;0;I looked at your code. I think you should give each table (that will toggle 'selected' a common class like 'atBat' and target from there. I will edit my original post with my suggested code. Please let me know if it works.;230520
1904587;2010-01-01 01:30:16.260;1987561;0;Just what I needed. If I create the new file descriptor inside a function, will it still exist after the function ends?;25700
1904588;2010-01-01 01:31:10.610;1987119;0;Is DIR_EXCLUDES just `['.', '..']` or does it include other stuff?  Also, do you get the same time results the second time you run it?  Windows XP and beyond do some pretty freaky caching of filesystem info, and it can really affect benchmark results.;221537
1904589;2010-01-01 01:31:33.543;1987619;0;Ok. you seem to have covered it in your edit. (it's ok to remove this comment thread);158676
1904590;2010-01-01 01:32:18.393;1987615;0;It worked like a charm... just like what I wanted!! :) going to put this in a shell script for batch labelling... thanks a lot!;196863
1904592;2010-01-01 01:32:39.483;1987647;1;"There's no correctly catching this; it's undefined behavior and all bets are off *in the entire program* (as far as the standard guarantees).  What you found does make sense though, in the trivial-dtor case the vtable pointer isn't updated, so no error message.";NULL
1904594;2010-01-01 01:34:46.283;1987663;0;thanks seems I have to forget whole my code and turn to cURL :( :(;238952
1904596;2010-01-01 01:34:53.347;1987552;0;As always there is more than one way to anything with programing. Thanks everyone for your answers!;172964
1904598;2010-01-01 01:35:33.860;1987592;0;This seems to be the simplest way. Thanks;172964
1904600;2010-01-01 01:35:56.857;1987672;1;"How deep do you want to get into the mathematics? How ""CS"" should the answer be?";76337
1904601;2010-01-01 01:37:09.740;1987672;0;Mathematics? *bemused face!* By all means feel free to mention those, though I admit I'm more interested in their practical CS applications.;129655
1904602;2010-01-01 01:37:34.357;1987670;0;Don't use ordering unless needed. If no proper index is present, the `ORDER BY` query will lead to creation of temporary tables to execute the query.;137954
1904603;2010-01-01 01:40:35.880;1987374;0;sorry about the delay i went shopping lol. i have tried JYIops47fx1q and lots of different variations;152598
1904605;2010-01-01 01:41:33.630;1987374;0;thank you @David Stratton, am trying it now.;152598
1904606;2010-01-01 01:41:57.233;1987657;0;One thing to watch out for is that ConvExpr is not part of the interface of the QuotationEvaluation module (at least in v1.9.7.8 of the Power Pack).  (I get a compiler error when I try to use ConvExpr.)  The module interface surfaces it via the `Expr.ToLinqExpression` extension method.;61700
1904608;2010-01-01 01:42:15.893;1987601;0;Not using GoDaddy hosting would probably be the easiest solution to this and many other problems you have yet to experience.;187712
1904610;2010-01-01 01:43:17.637;1987511;2;"Actually, try/except blocks in Python (contrary to experience from some other languages) are very cheap when exceptions are not raised, and in any case that code is there to catch problems that could not be determined in advance (such as ""access denied"" on certain items) so it can't really be avoided.";221537
1904611;2010-01-01 01:45:10.440;1987589;0;Good point, i did try - hate pissing off developers but apples documentation is pretty complicated :/;161266
1904612;2010-01-01 01:45:31.393;1987374;0;@Andy White - No, I haven't tried any special characters. I usually just assume they're not supported.;152598
1904614;2010-01-01 01:45:49.190;1987478;0;I'm not sure why 'preceding' isn't working. Could it be that it compares only to the preceding sibling nodes of the node in question as opposed to *all* preceding nodes?;31668
1904615;2010-01-01 01:45:53.310;1987683;0;"a) it's what he asked for, and b) it's `register_globals` ;)";220819
1904616;2010-01-01 01:46:11.517;1987647;1;Demons flying from the nose and all that.;33345
1904621;2010-01-01 01:48:20.777;1987683;0;Er, yeah, register_globals. And you're right--actually let me refine that to: make sure you don't do that in global scope, and only inside a function. (which is also what you said, but it deserves emphasis);241779
1904622;2010-01-01 01:49:01.370;1986182;0;Though Marc W's Answer is technically right answer, klokop's answer works;238569
1904623;2010-01-01 01:50:02.787;1987647;0;Thanks Roger, now I understand what's going on.  I only recently started using const for non-trivial code, so the scope of action wasn't entirely clear to me.;NULL
1904624;2010-01-01 01:50:26.653;1987676;0;I explode every string to do some kind of comparison for my application. Some time it also get single CHAR so it create these problems. If i want to pass argument by myself then i know i can pass a string. But that is at run time. Can you please another solution ?;238384
1904625;2010-01-01 01:51:25.280;1987576;1;thanks. that was my impression. i'll take the performance hit :);115025
1904626;2010-01-01 01:51:36.370;113164;0;"%-formatting won't go away any time soon, but the ""format"" method on strings is the new (current) best-practices method.  It supports everything %-formatting does and most people think the API and the formatting syntax is much nicer.  (Myself included.)  Python has a third method, string.Template added in 2.4; basically nobody likes that one.";208607
1904627;2010-01-01 01:51:56.853;1987682;0;What errors are you getting?;55589
1904628;2010-01-01 01:52:25.200;1987676;0;"Or you can also say that I am looking for organization in a string and at run time it get the arugment ""or"" again it will say YES EXIST";238384
1904629;2010-01-01 01:52:54.280;1987687;2;No it doesn't, you can build an entire interface from within code.;220819
1904631;2010-01-01 01:54:48.783;1987683;0;I agree, globals are really really bad. But it's what the doctor ordered.;220819
1904632;2010-01-01 01:56:55.957;1986926;0;I tried putting the init method into the urls.py, but seems it won't be called before any visiting;192048
1904633;2010-01-01 01:57:05.393;1902376;0;<+ +> looks like latex-suite substitution fields...try Ctrl-j to move between them.;230537
1904634;2010-01-01 01:57:33.617;1987000;0;Pretty close as it turns out.  I wasn't checking to make sure the filter parameter type I was setting was correct.  I'll explain in an answer below.;15609
1904636;2010-01-01 01:58:06.780;1987691;0;BTW this issue is unlikely to be related to the issue you link to. That guy's VS installation just seems totally messed up.;31668
1904637;2010-01-01 01:59:04.017;1987671;1;I would suggest useing the `${$key}` format but only to improve readability.  Thats entirely a personal preference though.;55589
1904638;2010-01-01 01:59:40.537;1987460;0;"Brian: `struct A { char a[20]; };`, A::a is a non-static data member.  Your answer doesn't apply to this case.  The question wasn't clear.";NULL
1904641;2010-01-01 02:01:02.797;1987672;3;"""practical"" and ""CS"" in the same sentence! LOL!";76337
1904642;2010-01-01 02:02:32.637;1987254;0;@jbochi, 90%+ of the time consumed is in accessing the filesystem, so it's unlikely much improvement could be seen using things like map().;221537
1904644;2010-01-01 02:03:20.203;1987702;1;This is a basic case of debugging. What does the full, generated query that inserts the row look like?;187606
1904645;2010-01-01 02:03:30.513;1987625;0;nope, it worked after i upgraded php versions.;121630
1904646;2010-01-01 02:03:59.640;1987432;0;@chobo: see edits.;24995
1904647;2010-01-01 02:04:10.887;1984863;0;Doesn't this destroy existing merge info, or is the merge info redundant there?;5555
1904648;2010-01-01 02:04:11.290;1987290;0;`if (B* b_ptr = dynamic_cast<B*>(x))` and no need for the either the union or mis-scoped variables.  Plus you can write more natural `else if` instead of `else { ... if ... }`;NULL
1904650;2010-01-01 02:05:13.023;1979261;0;Do you mean this to be impossible with Fluent NHibernate automapping, Fluent NHibernate as a whole (meaning with the fluent mappings as well), or NHibernate itself?;135318
1904651;2010-01-01 02:05:27.670;1987672;0;"Ah, my apologies, I misunderstood you. I thought when you said ""CS"" you meant, more practical than pure mathematics. I keep forgetting that many people see the CS as only the theoretical side. I am more interested in the ""software development"" side... Is that better? But any answers will be welcomed.";129655
1904652;2010-01-01 02:06:06.547;1987455;1;It didn't here.  Slightly slower, in fact, which perhaps isn't too surprising considering that the list is built in C code and there should be less overhead scanning a list than using an iterator.;221537
1904653;2010-01-01 02:06:17.683;683522;0;"I don't understand why this was marked as the answer, when Jon never really answered the question... he only commented on what you wrote, but neglected the question, ""What other outdated practices are there?""";65387
1904654;2010-01-01 02:06:33.953;1984994;0;Do you mean that when you right-click -> Subversion -> Add them, they don't get added?;5555
1904656;2010-01-01 02:11:37.517;1987715;0;The problem with this will be if there are other $'s in the string, no?;239879
1904658;2010-01-01 02:15:47.183;1984803;1;"Yes, you're reading it wrong.  Response.AddHeader doesn't take a full-header string (""Content-Disposition: attachment;...""), but rather two strings: the header name (""Content-Disposition"") and the header value (""attachment;..."").";241753
1904659;2010-01-01 02:16:15.620;1987715;0;This will match any number after a dollar symbol at the end of a string only. Without knowing enough about the rest of your titles, I can't say how reliable it is. For example, if there are spaces between the symbol and the numbers (or other data between the numbers and the end of the string), then it won't match.;14054
1904660;2010-01-01 02:16:22.233;1987683;0;Thanks for that. I'll try it;241781
1904661;2010-01-01 02:16:28.240;1987137;1;Thanks, Bill. I've added a root_id column to both the tables and implemented the methods you suggested (http://pastie.org/762955). I'm not able to see the big picture though. How would the method to iterate over the Rows in the Rowset work dealing with the tree spread out over two tables? I'm assuming that fetchTreeByRootId() needs to use a UNION. Or would creating a view be a better solution? Although I do like being able to utilize the existing classes...;24805
1904662;2010-01-01 02:16:36.400;1987264;0;"Thanks!
The only improvement I would suggest is to use bitwise operations for the by 2 division. Supposed to be 2 to 3.5 X as fast.

var probe:int = (low + high) / 2;

would become 
var probe:int = (low + high) >> 1;
 
http://osflash.org/as3_speed_optimizations";129899
1904663;2010-01-01 02:17:31.470;1987676;4;Sorry, I don't really understand what you're trying to do. Can you explain?;18393
1904664;2010-01-01 02:17:46.037;1986917;0;Navigation rules will be ignored. `ExternalContext#redirect()` will call `FacesContext#responseComplete()`.;157882
